Entry ID,PubMed ID,DOI,PDB ID,Structure Title,Stucture Keywords,Source Organism,Gene Name,Macromolecule Name
3ZLI,24798337,10.1074/jbc.M114.555052,3ZLI,Crystal structure of JmjC domain of human histone demethylase UTY,OXIDOREDUCTASE,Homo sapiens,UTY,HISTONE DEMETHYLASE UTY
?,?,?,?,?,?,?,KDM6C,?
2W0X,20822901,10.1016/j.bmcl.2010.08.032,2W0X,"FACTOR INHIBITING HIF-1 ALPHA WITH PYRIDINE 2,4 DICARBOXYLIC ACID",OXIDOREDUCTASE,Homo sapiens,HIF1AN,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR
?,?,?,?,?,?,?,FIH1,?
3CQV,19243223,10.1371/journal.pbio.1000043,3CQV,Crystal structure of Reverb beta in complex with heme,TRANSCRIPTION,Homo sapiens,NR1D2,Nuclear receptor subfamily 1 group D member 2
?,?,?,?,?,?,?,NR1D2,?
3HCN,19703464,10.1016/j.jmb.2009.08.042,3HCN,Hg and protoporphyrin bound Human Ferrochelatase,LYASE,Homo sapiens,hemH,"Ferrochelatase, mitochondrial"
?,?,?,?,?,?,?,FECH,?
3LFM,20376003,10.1038/nature08921,3LFM,Crystal structure of the fat mass and obesity associated (FTO) protein reveals basis for its substrate specificity,OXIDOREDUCTASE,Homo sapiens,FTO,Protein fto
?,?,?,?,?,?,?,FTO,?
?,?,?,?,?,?,?,KIAA1752,?
3LL8,22343722,10.1038/nsmb.2238,3LL8,Crystal Structure of Calcineurin in Complex with AKAP79 Peptide,Hydrolase/calcium binding protein,Homo sapiens,PPP3CA,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
?,?,?,?,?,?,?,CALNA,?
?,?,?,?,?,?,?,CNA,?
?,?,?,?,?,?,?,PPP3CA,?
?,?,?,?,?,?,?,CALNA,?
?,?,?,?,?,?,?,CNA,?
?,?,?,?,?,?,Homo sapiens,PPP3R1,Calcineurin subunit B type 1
?,?,?,?,?,?,?,CNA2,?
?,?,?,?,?,?,?,CNB,?
?,?,?,?,?,?,?,PPP3R1,?
?,?,?,?,?,?,?,CNA2,?
?,?,?,?,?,?,?,CNB,?
?,?,?,?,?,?,Homo sapiens,AKAP5,AKAP79 peptide
?,?,?,?,?,?,?,AKAP79,?
4RR2,25550159,10.1074/jbc.M114.624742,4RR2,Crystal structure of human primase,TRANSFERASE,Homo sapiens,PRIM2,DNA primase large subunit
?,?,?,?,?,?,?,PRIM2A,?
?,?,?,?,?,?,?,PRIM2,?
?,?,?,?,?,?,?,PRIM2A,?
?,?,?,?,?,?,Homo sapiens,PRIM1,DNA primase small subunit
?,?,?,?,?,?,?,PRIM1,?
3OVP,20923965,10.1096/fj.10-171207,3OVP,Crystal Structure of hRPE,ISOMERASE,Homo sapiens,RPE,Ribulose-phosphate 3-epimerase
?,?,?,?,?,?,?,HUSSY-17,?
?,?,?,?,?,?,?,RPE,?
?,?,?,?,?,?,?,HUSSY-17,?
5GIX,27441502,10.1021/acs.jmedchem.6b00509,5GIX,Human serum albumin-Palmitic acid-Fe(Hn3piT)Cl2,IMMUNE SYSTEM,Homo sapiens,ALB,Serum albumin
?,?,?,?,?,?,?,GIG20,?
?,?,?,?,?,?,?,GIG42,?
?,?,?,?,?,?,?,PRO0903,?
?,?,?,?,?,?,?,PRO1708,?
?,?,?,?,?,?,?,PRO2044,?
?,?,?,?,?,?,?,PRO2619,?
?,?,?,?,?,?,?,PRO2675,?
?,?,?,?,?,?,?,UNQ696/PRO1341,?
?,?,?,?,?,?,?,ALB,?
?,?,?,?,?,?,?,GIG20,?
?,?,?,?,?,?,?,GIG42,?
?,?,?,?,?,?,?,PRO0903,?
?,?,?,?,?,?,?,PRO1708,?
?,?,?,?,?,?,?,PRO2044,?
?,?,?,?,?,?,?,PRO2619,?
?,?,?,?,?,?,?,PRO2675,?
?,?,?,?,?,?,?,UNQ696/PRO1341,?
4PCU,25197074,10.1073/pnas.1414545111,4PCU,Crystal structure of delta516-525 E201S human cystathionine beta-synthase with AdoMet,LYASE,Homo sapiens,CBS,Cystathionine beta-synthase
?,?,?,?,?,?,?,CBS,?
1MJ4,12832761,10.1107/s0907444903009934,1MJ4,Crystal Structure Analysis of the cytochrome b5 domain of human sulfite oxidase,OXIDOREDUCTASE,Homo sapiens,SUOX,sulfite oxidase
1M54,12173932,10.1021/bi026052d,1M54,CYSTATHIONINE-BETA SYNTHASE: REDUCED VICINAL THIOLS,LYASE,Homo sapiens,CBS,CYSTATHIONINE BETA-SYNTHASE
?,?,?,?,?,?,?,CBS,?
1DYT,10903870,10.1006/jmbi.2000.3939,1DYT,X-ray crystal structure of ECP (RNase 3) at 1.75 A,HYDROLASE,Homo sapiens,RNASE3,EOSINOPHIL CATIONIC PROTEIN
?,?,?,?,?,?,?,RNASE3,?
?,?,?,?,?,?,?,ECP,?
?,?,?,?,?,?,?,RNS3,?
4NM6,24315485,10.1016/j.cell.2013.11.020,4NM6,Crystal structure of TET2-DNA complex,OXIDOREDUCTASE/DNA,?,?,5'-D(*AP*CP*CP*AP*CP*(5CM)P*GP*GP*TP*GP*GP*T)-3'
?,?,?,?,?,?,Homo sapiens,TET2,Methylcytosine dioxygenase TET2
?,?,?,?,?,?,?,KIAA1546,?
?,?,?,?,?,?,?,Nbla00191,?
?,?,?,?,?,?,Homo sapiens,TET2,?
?,?,?,?,?,?,?,KIAA1546,?
?,?,?,?,?,?,?,Nbla00191,?
4ZJK,26327381,10.1107/S1399004715013073,4ZJK,FIVE MINUTES IRON LOADED HUMAN H FERRITIN,OXIDOREDUCTASE,Homo sapiens,FTH1,Ferritin heavy chain
?,?,?,?,?,?,?,FTH,?
?,?,?,?,?,?,?,FTHL6,?
?,?,?,?,?,?,?,OK/SW-cl.84,?
?,?,?,?,?,?,?,PIG15,?
?,?,?,?,?,?,?,FTH1,?
?,?,?,?,?,?,?,FTH,?
?,?,?,?,?,?,?,FTHL6,?
?,?,?,?,?,?,?,OK/SW-cl.84,?
?,?,?,?,?,?,?,PIG15,?
5AO0,26431200,10.1371/journal.ppat.1005194,5AO0,Crystal structure of human SAMHD1 (amino acid residues 41-583) bound to ddGTP,HYDROLASE,Homo sapiens,SAMHD1,DEOXYNUCLEOSIDE TRIPHOSPHATE TRIPHOSPHOHYDROLASE SAMHD1
?,?,?,?,?,?,?,MOP5,?
5JKL,27617514,10.1021/jacs.6b07260,5JKL,Binary crystal structure of positively and negatively supercharged variants Ftn(pos) and Ftn(neg) from human heavy chain ferritin (Mg formate condition),OXIDOREDUCTASE,Homo sapiens,FTH1,Ferritin heavy chain
?,?,?,?,?,?,?,FTH,?
?,?,?,?,?,?,?,FTHL6,?
?,?,?,?,?,?,?,OK/SW-cl.84,?
?,?,?,?,?,?,?,PIG15,?
?,?,?,?,?,?,?,FTH1,?
?,?,?,?,?,?,?,FTH,?
?,?,?,?,?,?,?,FTHL6,?
?,?,?,?,?,?,?,OK/SW-cl.84,?
?,?,?,?,?,?,?,PIG15,?
?,?,?,?,?,?,Homo sapiens,FTH1,Ferritin heavy chain
?,?,?,?,?,?,?,FTH,?
?,?,?,?,?,?,?,FTHL6,?
?,?,?,?,?,?,?,OK/SW-cl.84,?
?,?,?,?,?,?,?,PIG15,?
?,?,?,?,?,?,?,FTH1,?
?,?,?,?,?,?,?,FTH,?
?,?,?,?,?,?,?,FTHL6,?
?,?,?,?,?,?,?,OK/SW-cl.84,?
?,?,?,?,?,?,?,PIG15,?
1JBQ,11483494,10.1093/emboj/20.15.3910,1JBQ,STRUCTURE OF HUMAN CYSTATHIONINE BETA-SYNTHASE: A UNIQUE PYRIDOXAL 5'-PHOSPHATE DEPENDENT HEMEPROTEIN,LYASE,Homo sapiens,CBS,CYSTATHIONINE BETA-SYNTHASE
2HT9,17121859,10.1074/jbc.M608179200,2HT9,The structure of dimeric human glutaredoxin 2,OXIDOREDUCTASE,Homo sapiens,GLRX2,Glutaredoxin-2
?,?,?,?,?,?,?,GLRX2,?
?,?,?,?,?,?,?,GRX2,?
?,?,?,?,?,?,?,CGI-133,?
?,?,?,?,?,?,Homo sapiens,GLRX2,12-mer peptide
1RYO,15123433,10.1016/j.jmb.2004.03.049,1RYO,"Human serum transferrin, N-lobe bound with oxalate",METAL TRANSPORT,Homo sapiens,TF,Serotransferrin
?,?,?,?,?,?,?,TF,?
?,?,?,?,?,?,?,PRO1400,?
1SHR,15449937,10.1021/bi048903i,1SHR,Crystal structure of ferrocyanide bound human hemoglobin A2 at 1.88A resolution,OXYGEN STORAGE/TRANSPORT,Homo sapiens,HBA1,Hemoglobin alpha chain
?,?,?,?,?,?,?,HBA2,?
?,?,?,?,?,?,Homo sapiens,HBD,Hemoglobin delta chain
2IBN,18364358,10.1074/jbc.M800348200,2IBN,Crystal structure of Human myo-Inositol Oxygenase (MIOX),OXIDOREDUCTASE,Homo sapiens,MIOX,Inositol oxygenase
?,?,?,?,?,?,?,ALDRL6,?
?,?,?,?,?,?,?,KSP32,?
?,?,?,?,?,?,?,RSOR,?
2IUW,16858410,10.1038/sj.emboj.7601219,2IUW,Crystal structure of human ABH3 in complex with iron ion and 2- oxoglutarate,OXIDOREDUCTASE,Homo sapiens,ALKBH3,ALKYLATED REPAIR PROTEIN ALKB HOMOLOG 3
?,?,?,?,?,?,?,ABH3,?
?,?,?,?,?,?,?,DEPC1,?
1URV,15095869,10.1016/j.jmb.2003.12.063,1URV,Crystal structure of cytoglobin: the fourth globin type discovered in man displays heme hexa-coordination,OXYGEN TRANSPORT,Homo sapiens,CYGB,CYTOGLOBIN
?,?,?,?,?,?,?,STAP,?
1N5U,11866438,10.1006/bbrc.2002.6540,1N5U,X-RAY STUDY OF HUMAN SERUM ALBUMIN COMPLEXED WITH HEME,PLASMA PROTEIN,Homo sapiens,ALB,SERUM ALBUMIN
?,?,?,?,?,?,?,GIG20,?
?,?,?,?,?,?,?,GIG42,?
?,?,?,?,?,?,?,PRO0903,?
?,?,?,?,?,?,?,PRO1708,?
?,?,?,?,?,?,?,PRO2044,?
?,?,?,?,?,?,?,PRO2619,?
?,?,?,?,?,?,?,PRO2675,?
?,?,?,?,?,?,?,UNQ696/PRO1341,?
1N76,?,?,1N76,CRYSTAL STRUCTURE OF HUMAN SEMINAL LACTOFERRIN AT 3.4 A RESOLUTION,ANTIMICROBIAL PROTEIN,Homo sapiens,LTF,LACTOFERRIN
?,?,?,?,?,?,?,GIG12,?
?,?,?,?,?,?,?,LF,?
1ZGN,16195232,10.1074/jbc.M507916200,1ZGN,Crystal Structure of the Glutathione Transferase Pi in Complex with Dinitrosyl-diglutathionyl Iron Complex,TRANSFERASE,Homo sapiens,GSTP1,Glutathione S-transferase P
?,?,?,?,?,?,?,GSTP1,?
?,?,?,?,?,?,?,FAEES3,?
?,?,?,?,?,?,?,GST3,?
1X71,15642259,10.1016/j.str.2004.10.009,1X71,"Crystal structure of Siderocalin (NGAL, Lipocalin 2) complexed with TRENCAM-3,2-HOPO, a cepabactin analogue",ANTIMICROBIAL PROTEIN,Homo sapiens,LCN2,Neutrophil gelatinase-associated lipocalin
?,?,?,?,?,?,?,NGAL,?
?,?,?,?,?,?,?,HNL,?
?,?,?,?,?,?,?,LCN2,?
?,?,?,?,?,?,?,HNL,?
?,?,?,?,?,?,?,NGAL,?
2D0T,16477023,10.1073/pnas.0508996103,2D0T,"Crystal structure of 4-phenylimidazole bound form of human indoleamine 2,3-dioxygenase",OXIDOREDUCTASE,Homo sapiens,IDO1,"Indoleamine 2,3-dioxygenase"
?,?,?,?,?,?,?,IDO,?
?,?,?,?,?,?,?,INDO,?
